county_fips,food_desert_prevalence,obesity_pct,poverty_pct,median_income_usd,education_pct,diabetes_pct,inactivity_pct
02130,25.0,34.5,9.49,89155.0,26.97,9.9,21.2
02150,0.0,30.3,7.7,83716.0,28.61,9.6,22.6
02164,100.0,39.0,15.23,64000.0,18.4,13.3,27.9
02170,29.166666666666668,32.0,10.31,90625.0,24.28,9.3,26.3
02180,50.0,37.1,21.13,76643.0,17.45,12.8,30.4
02185,33.33333333333333,41.9,8.35,86313.0,14.93,10.4,23.9
02188,50.0,37.9,18.41,81298.0,12.39,13.0,30.1
02195,0.0,31.0,5.7,77026.0,27.45,10.4,22.1
02198,25.0,38.3,15.08,59079.0,16.98,13.9,26.0
02220,0.0,32.5,8.38,101207.0,34.37,9.7,21.8
02230,0.0,34.2,6.19,78594.0,27.75,9.4,23.9
02240,50.0,38.0,13.27,74223.0,19.58,10.3,26.4
02275,100.0,33.8,10.89,64545.0,18.88,12.5,25.2
02282,0.0,33.2,7.78,80625.0,14.82,13.2,26.6
02290,100.0,39.4,20.76,52642.0,12.79,15.6,30.9
04001,62.5,38.8,31.22,40338.0,15.27,20.1,32.4
04003,59.375,32.6,15.54,58970.0,27.66,13.9,26.1
04005,39.285714285714285,25.2,17.68,69748.0,39.62,9.9,17.3
04007,43.75,33.8,17.78,59089.0,18.85,16.5,27.0
04009,33.33333333333333,39.8,17.68,67326.0,14.59,12.9,25.7
04011,0.0,32.5,10.79,75239.0,20.41,12.0,25.3
04012,44.44444444444444,33.7,18.44,49506.0,13.86,19.7,34.3
04013,31.004366812227076,32.6,11.25,85518.0,35.86,11.4,22.5
04015,55.81395348837209,36.2,16.83,55799.0,14.89,15.7,31.1
04017,64.51612903225806,38.1,24.71,52752.0,17.63,16.0,27.1
04019,38.589211618257266,31.5,14.35,67929.0,35.87,11.7,25.3
04021,29.333333333333332,38.4,10.87,77588.0,22.15,14.0,26.4
04023,70.0,31.5,20.21,53614.0,24.07,16.9,27.9
04025,28.57142857142857,27.1,12.59,66106.0,29.6,13.8,25.2
04027,52.72727272727272,40.5,16.46,60417.0,16.67,15.5,31.3
05001,25.0,40.9,14.72,60831.0,15.33,17.2,38.2
05003,28.57142857142857,41.9,22.72,44481.0,12.18,18.6,38.4
05005,0.0,41.0,14.46,48427.0,18.75,16.8,33.6
05007,14.285714285714285,34.3,7.61,89879.0,36.61,11.4,23.2
05009,28.57142857142857,39.0,13.44,54195.0,16.31,13.9,30.5
05011,20.0,41.5,20.06,39565.0,15.77,18.1,37.0
05013,0.0,38.4,13.3,63654.0,18.1,16.0,33.5
05015,0.0,35.7,16.26,55187.0,21.12,16.5,32.4
05017,75.0,44.4,24.38,39683.0,17.23,22.0,41.2
05019,40.0,37.1,20.19,50985.0,25.49,14.1,31.2
05021,33.33333333333333,37.7,17.22,48500.0,15.62,15.9,35.3
05023,0.0,35.9,13.85,55979.0,18.27,16.0,32.1
05025,50.0,40.9,15.57,50509.0,16.25,17.2,37.7
05027,60.0,38.5,22.69,47363.0,20.38,15.1,31.1
05029,33.33333333333333,41.5,20.59,51212.0,18.17,16.8,36.9
05031,41.17647058823529,36.9,19.07,57615.0,27.77,12.7,33.1
05033,18.181818181818183,39.7,16.79,60362.0,19.3,14.7,31.6
05035,55.00000000000001,41.3,20.71,54271.0,17.2,17.4,35.8
05037,33.33333333333333,38.5,20.09,47012.0,14.83,16.8,34.4
05039,33.33333333333333,43.6,11.17,44694.0,11.13,19.1,37.9
05041,60.0,45.1,28.92,36064.0,13.03,21.5,42.4
05043,20.0,40.4,22.74,41071.0,23.33,15.3,34.4
05045,32.0,36.3,15.03,65071.0,33.2,11.8,24.6
05047,33.33333333333333,40.2,18.86,51919.0,13.16,15.8,37.1
05049,50.0,38.8,14.75,38941.0,15.72,19.1,41.4
05051,45.0,37.6,16.47,55409.0,26.25,15.3,30.1
05053,0.0,35.4,12.32,72512.0,20.93,13.2,30.9
05055,11.11111111111111,37.5,17.04,56793.0,16.49,14.3,34.3
05057,40.0,40.8,18.99,47654.0,14.6,17.5,34.3
05059,28.57142857142857,38.7,17.06,52644.0,15.78,15.6,33.6
05061,33.33333333333333,39.2,19.78,44492.0,16.68,15.6,31.6
05063,25.0,39.2,19.63,56009.0,16.87,14.8,34.7
05065,0.0,35.9,21.08,47728.0,18.71,15.4,32.4
05067,60.0,40.6,21.2,41215.0,13.26,16.1,37.6
05069,62.5,43.7,20.59,48552.0,20.64,17.3,35.4
05071,66.66666666666666,38.9,19.35,44808.0,18.08,16.3,38.4
05073,50.0,42.7,27.22,37237.0,9.21,21.2,42.1
05075,33.33333333333333,41.0,18.2,44164.0,14.04,15.6,36.7
05077,50.0,44.9,27.7,36860.0,6.87,20.0,40.9
05079,25.0,39.5,17.68,51667.0,10.88,15.1,36.3
05081,0.0,38.6,16.46,52241.0,17.44,15.8,33.6
05083,33.33333333333333,38.0,14.41,54237.0,15.55,15.7,35.2
05085,12.5,38.4,11.15,71449.0,20.99,13.1,27.0
05087,50.0,36.0,15.01,53888.0,12.84,15.4,35.8
05089,25.0,37.2,17.84,46953.0,15.44,18.2,33.3
05091,50.0,43.7,21.05,49983.0,16.05,15.9,35.5
05093,33.33333333333333,42.9,21.03,53428.0,14.18,17.6,38.6
05095,33.33333333333333,43.0,22.17,43955.0,15.64,20.7,41.3
05097,66.66666666666666,39.8,20.85,49015.0,16.85,18.2,35.3
05099,100.0,41.4,28.53,41761.0,11.67,18.8,37.2
05101,0.0,39.2,13.32,47395.0,14.25,16.7,35.9
05103,66.66666666666666,42.4,17.88,49838.0,15.09,18.1,35.4
05105,0.0,37.7,15.64,60078.0,17.13,15.5,32.2
05107,50.0,50.7,28.73,38874.0,14.53,22.2,43.6
05109,33.33333333333333,36.9,18.84,51000.0,19.56,15.3,33.2
05111,14.285714285714285,40.6,20.06,47188.0,11.92,16.6,37.7
05113,50.0,36.6,18.97,49252.0,17.2,16.3,34.5
05115,36.36363636363637,35.2,17.55,54606.0,24.64,13.9,28.9
05117,0.0,37.8,9.37,51094.0,16.71,16.0,35.3
05119,37.89473684210527,38.1,16.22,60385.0,37.36,14.1,27.4
05121,50.0,37.2,21.13,52838.0,14.48,15.7,36.1
05123,50.0,44.5,27.84,41784.0,12.9,18.8,40.8
05125,0.0,37.4,9.05,76534.0,28.5,12.6,26.5
05127,66.66666666666666,38.3,17.21,45955.0,10.83,16.7,35.3
05129,33.33333333333333,40.9,24.51,41978.0,13.69,19.0,38.8
05131,46.15384615384615,35.7,16.27,56450.0,24.38,15.1,34.5
05133,25.0,41.4,19.63,51641.0,10.93,15.9,35.3
05135,25.0,37.3,17.35,42950.0,11.93,16.2,37.2
05137,33.33333333333333,36.9,21.56,38531.0,15.38,18.1,36.5
05139,40.0,41.1,19.41,50221.0,18.92,16.3,32.7
05141,40.0,37.0,19.5,47266.0,15.78,18.4,38.2
05143,34.375,32.3,14.79,66426.0,34.61,11.3,27.8
05145,15.384615384615385,40.1,16.43,53435.0,19.8,14.4,35.9
05147,0.0,40.9,22.77,49982.0,15.89,19.0,37.9
05149,50.0,38.6,13.27,58870.0,14.32,16.3,36.9
06001,22.99168975069252,19.6,9.22,126240.0,51.47,9.9,19.1
06003,0.0,29.3,12.33,110781.0,42.11,11.7,18.8
